Algebra Analisi1 Analisi2 Fisica1 Fisica2 Geometria1 Geometria2 MecRaz Anno
30 26 24 28 29 27 27 24 1999
25 22 19 25 27 23 18 27 2000
25 28 28 27 31 26 25 26 1998
23 20 22 24 30 25 21 25 1998
23 29 19 27 22 24 24 25 2002
29 23 24 30 27 23 23 25 1999
30 27 29 31 31 30 28 26 2001
30 22 29 27 31 27 28 24 1999
23 23 21 24 28 18 23 20 1998
19 27 23 26 20 18 20 23 1998
26 20 21 18 25 26 24 20 1999
24 28 25 28 28 25 30 25 2000
18 22 26 20 28 27 26 24 2001
23 27 23 25 22 21 19 21 1999
18 20 25 26 26 21 25 30 2002
23 20 21 23 28 26 19 21 2001
21 23 24 24 20 27 28 23 1999
23 20 24 23 27 20 25 27 2001
21 22 25 22 27 24 26 22 2000
18 19 24 24 25 19 19 27 2001
24 27 22 28 31 24 27 28 2001
25 25 24 28 30 27 28 22 1999
18 24 19 28 30 28 28 23 1999
23 28 27 28 27 27 26 27 1999
24 27 25 30 31 26 30 30 2000
24 22 19 25 25 23 25 24 2002
19 21 23 24 30 28 27 26 1998
27 25 24 23 30 25 27 26 1999
18 20 18 20 26 19 23 22 2002
18 19 18 22 22 28 25 23 2001
30 24 26 26 27 28 27 22 1998
21 24 24 20 30 23 25 24 1999
24 25 28 28 28 26 29 26 2001
24 23 30 30 30 28 29 31 2002
31 26 29 28 31 28 30 28 1999
27 24 26 30 30 27 29 30 1999
23 25 20 22 22 28 24 21 2002
27 24 25 23 27 23 27 24 2001
18 18 19 23 28 23 26 19 2001
23 24 24 28 27 26 27 26 2001
22 25 24 23 31 26 28 26 2000
21 20 28 27 28 25 27 20 2002
20 24 25 25 26 19 24 23 1998
23 19 27 30 30 28 28 30 2000
28 28 25 27 28 27 27 23 2001
30 26 28 30 31 30 31 27 1999
20 22 21 27 28 30 24 25 2000
20 21 20 19 26 20 23 20 1999
23 23 21 23 22 19 21 28 1999
28 20 19 25 23 25 18 27 2002
20 20 23 28 27 27 25 20 1998
21 22 23 24 26 24 27 26 1999
26 24 24 28 25 28 26 24 1999
20 25 26 28 28 26 23 21 1999
22 26 20 23 27 24 26 20 2001
29 27 26 26 26 24 28 21 2000
31 22 24 28 30 25 27 26 2000
24 21 22 28 28 25 30 25 1999
19 23 24 24 28 21 23 18 2002
29 31 28 24 23 30 27 20 2001
18 19 24 25 30 22 25 24 2001
30 30 31 31 30 30 31 31 1998
23 23 19 27 27 23 18 23 2002
20 21 19 25 24 24 24 27 2002
22 20 21 28 27 27 27 25 2001
25 25 28 27 30 27 27 22 2002
18 18 22 19 30 28 23 25 2000
20 23 27 24 29 24 27 28 1998
19 24 22 23 27 21 26 21 2000
19 18 19 24 27 18 27 20 2000
18 25 22 19 27 24 25 23 2000
19 20 22 18 28 23 25 21 2002
28 24 22 23 28 22 28 24 2002
23 24 25 26 30 26 27 22 2000
20 19 28 22 24 21 22 23 2002
22 23 19 19 24 25 24 28 2002
25 22 21 24 25 29 27 20 2001
25 25 30 27 25 28 30 26 2000
24 25 25 26 27 27 23 24 2000
19 20 20 26 25 25 24 30 2002
25 27 30 27 30 27 25 22 2002
20 22 25 27 26 23 28 20 2001
31 30 31 27 26 30 28 27 2001
20 20 25 24 30 19 28 21 2000
18 18 18 20 21 24 18 18 2001
18 18 18 23 18 25 18 23 2002
18 20 21 22 19 28 21 26 2002
24 28 30 25 27 20 27 21 2002
21 22 19 26 28 25 26 23 2001
23 25 23 23 27 23 22 27 1999
20 21 24 25 24 25 26 24 2001
25 24 24 28 30 28 28 31 2002
31 26 24 30 28 25 31 28 2002
30 30 30 28 31 30 30 30 2002
25 25 28 25 28 25 30 28 2002
19 24 25 23 25 26 26 20 2001
27 23 26 25 27 28 27 24 2002
25 25 27 27 28 30 27 26 2001
30 28 27 28 31 31 28 30 2000
24 22 25 24 25 26 23 27 2001
28 24 20 28 28 27 25 24 2002
24 29 27 28 31 25 28 30 2000
25 25 20 25 27 26 25 23 2001
28 28 23 27 27 25 23 28 2002
30 28 27 30 30 30 30 30 2002
27 19 22 27 24 25 23 26 2002
24 21 25 20 28 24 21 19 2000
20 26 25 23 23 28 24 23 2000
18 25 27 18 28 19 28 31 2000
27 26 20 22 26 27 22 23 2002
21 23 22 27 30 23 25 22 2002
31 28 28 26 28 30 28 27 2002
24 23 24 27 26 28 29 23 2002
25 27 20 23 25 25 26 27 2002
28 26 31 26 31 31 28 28 2002
23 21 20 23 26 29 25 21 2002
30 26 26 28 30 30 30 26 2002
31 24 22 26 30 30 30 28 2001
28 24 25 18 25 19 28 22 1999
